status_id,code,text,is_quote,is_retweet,quoted_text,retweet_text
ID_1237264951456210944,NA,Top #ncaa #prospects #Maryland #jalensmith #anthonycowanjr #basketball #college #collegebasketball #michiganstate #msu #cassiuswinston #xaviertillman #nba #nbatv https://t.co/MwGjHbNI27,FALSE,TRUE,NA,Top #ncaa #prospects #Maryland #jalensmith #anthonycowanjr #basketball #college #collegebasketball #michiganstate #msu #cassiuswinston #xaviertillman #nba #nbatv https://t.co/MwGjHbNI27
ID_1236687381073362944,NA,"A ""really-would-be-nice"" win for @TerrapinHoops today as the go head-to-head with @umichbball. #FinishStrong #FearTheTurtle",FALSE,TRUE,NA,"A ""really-would-be-nice"" win for @TerrapinHoops today as the go head-to-head with @umichbball. #FinishStrong #FearTheTurtle"
ID_1233960763020185600,NA,@HaskinsEra @ripjxden @TerrapinHoops When he’s in the xfl yeah,FALSE,FALSE,NA,NA
ID_1233980752003575808,NA,@ShiningTimes777 @StansburyTodd @marchmadness @TheAndyKatz @ZagMBB @KUHoops @KentuckyMBB @TerrapinHoops @AuburnMBB @DaytonFlyers @OregonMBB @BaylorMBB @BYUbasketball @RutgersMBB https://t.co/E60nGTs6wn,FALSE,FALSE,NA,NA
ID_1238132258399272962,NA,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ...",FALSE,TRUE,NA,"Statement from Mark Turgeon: ""I understand and respect the conference's decision to cancel this year's Big Ten tournament. The health and safety of our student-athletes and entire program is paramount. This is an unprecedented situation that is much bigger than basketball. ..."
ID_1236979596190515202,NA,@chiefjawnz @TerrapinHoops *donta scott*,FALSE,FALSE,NA,NA
ID_1238200089748942848,NA,The one year Maryland had a chance 😩😩😩😭😭,TRUE,FALSE,"Nearly 10 of the top coaches in college basketball have spoken and are on board with the following idea, source told me. 

- Selection Sunday on as planned. 

- Postpone the NCAA Tournament and continue to monitor the situation. 

“We all talked, and agree on this,” once told me.",NA
ID_1236818663715540992,NA,"SPORTS ALERT: Maryland beat Ohio State 82-65 to win their 4th Big 10 tournament title in 6 years. 
https://t.co/eqNsxGk8LW",FALSE,TRUE,NA,"SPORTS ALERT: Maryland beat Ohio State 82-65 to win their 4th Big 10 tournament title in 6 years. 
https://t.co/eqNsxGk8LW"
ID_1238480615135219718,NA,"@Wikkedegg @lingxing01 @RepJohnYarmuth @TMeltonScouting I cope with my fear by using humor.

Come to think of it, dunno if Mitch could even get the virus. Many pathogens that affect humans need our body heat to survive, and he's a turtle, which are cold-blooded.",FALSE,FALSE,NA,NA
ID_1236003969396363270,NA,Frickin stupid. Enjoy being scared,TRUE,FALSE,"Crowd wave at NCAA Division III men's basketball tournament at JHU.  Aside from the players, these medical professionals bring the most energy. No fans are allowed due to coronavirus concerns in the state of Maryland. @WMAR2News https://t.co/OWeK5Ygin0",NA
