status_id,text,code
1233961463510962176,"Let's not overreact to a loss to a good team. It wasn't the #Terps' night but still a lot of goals ahead of them. ""They were better than us tonight,"" Turgeon said, and that's true, but that doesn't mean it will be true every night.",3
1233884086953037824,"#Illini commit Adam Miller &amp; Morgan Park teammate Brandon Weston will be in Champaign tomorrow for Illinois-Indiana.

Miller is trying to get the top-75 forward to follow the path to Illinois. Big visit for Underwood &amp; Co.  

https://t.co/L6RXkQobfj",2
1233891264426323968,May it always be this way. Amen.,1
1233898303084826625,No doubt ⁦@TerrapinHoops⁩ is ready for ⁦@CollegeGameDay⁩ https://t.co/Fj2uXbm5X9,1
1233911844978466817,"Terp Nation took College GameDay to another level at Xfinity Center this morning. 

Check out the best photos of the festivities from @SSopher528. https://t.co/buZUZd6N4W",1
1233907389507784704,College Park after Dark. Let's go MD. #Terps https://t.co/oIxUOqemNw,1
1233925247558176769,"Finally, Damn are yall woke yet #Terps",3
1233907966690111488,"🏀 #CBBPICKS Saturday 

Maryland ML (-127) risk 2.5u

#GamblingTwitter",2
1233940644143431681,"""A bar graph of my favorite pies, and a pie chart of my favorite bars."" Love me some graphics...",1
1233914244158148608,"About 20 minutes ahead of Maryland’s first College Gamday in over a decade. They’ll be looking to sweep the season series against the Spartans.

Here’s my preview for @WMUCSports:

https://t.co/w8q0Cv2ZLd",2
1233915619172659201,"College Basketball:

Maryland 1H ML 🥇 -140

#freepicks #gamblingtwitter #collegelax #ncaab #cbb",2
1233917298974642177,"@umterps 

Sec 114
Row 12
Seat 20

Go Terps!",1
1233919120321712129,"I'm at the epicenter of the Earth tonight...
Let's go #Terps!!! @ Xfinity Center https://t.co/FmoVdnATrN",1
1233919448110817280,He’s TURRIBLE,3
1233922524242726913,No. 9 Maryland men's basketball vs No. 24 Michigan State is officially underway.,2
1233937631278518272,"#MSUvsMD @team980 @TerrapinHoops Poor showing. Turgeon just is not a big game/prep/motivator. It’s a damn shame they will waste the talent on this roster. Really poor showing all around. If you are going to lose, at least play hard and battle. Ayala is awful",3
1233923195142578177,@agehring91 is there anything more Maryland basketball than having game day ranked number 9 at home in prone time and going down 14-2,3
1233929223904972800,@TerrapinHoops Just win the f*cking game,3
1233939900938031106,#Spartans start the 2nd half on a 9-4 run to take a 49-33 lead.  #Terps call TO with 17:15 to go.,2
1233924142384263168,"Illinois, Minnesota, MSU... all start off on fire vs us. Need that early intensity! #Terps",2
1233941423549906946,@youngnastyaka @TerrapinHoops you are right. it won't happen every time and we will probably lose tonight. you gonna just drop them? bash them on twitter? whatre you gonna do?,3
1233935461669908481,"What’s Maryland basketball without a double digit deficit at halftime? Gotta give the fans something to keep them in their seats, I guess?",3
1233959300005015552,@GuyFromMaryland @sports_god1 @TerrapinHoops Lmao imagine thinking that’s actually me 😂😂😂 You Maryland fans are hilarious,3
1233934112135811075,Maryland basketball had fouls to give...so dumb,3
1233934301399601152,Turgeon is great at calling a defense with under 2 secs..u gotta pressure the ball some #Terps,1
1233934576663302151,@TerrapinHoops Get it together,3
1233934830766886912,Waiting to see if Maryland wins before deciding if the Big Ten’s prison rules are an affront to basketball’s purity or just “letting the kids play”,2
1233945869122228224,@TerrapinHoops Embarrassing Turgeon will say an excuse about having to play Thursday if these men can’t play this what makes u think sticks and others can play in the nba,3
1233942488462786561,@svhill11 @youngnastyaka @TerrapinHoops Honestly. They always end up playing one half and it’s brutal,3
1233940516238249984,@TerrapinHoops I’m sorry but what is going on,3
1233950285971718144,#Terps getting humbled a bit tonight in a game they probably don’t need to win the #B1G. #Spartans having a ton go their way,2
1233943376459915271,I am a UMD basketball jinx. They never win when I watch.,3
1233944687465115648,"#Terps have been a strong defensive tram for the most part all year. 

Not tonight though they have been out hustled all night on both ends. Particularly on the defensive end just not getting back not closing out leaving",3
1233962230422568961,@TerrapinHoops https://t.co/MDR83iWr7W,2
1233953100689543169,@auggriv911 @kevinsheehanDC @TerrapinHoops Refs have did everything to keep Maryland in the game and we still lead by 10,3
1233960763020185600,@HaskinsEra @ripjxden @TerrapinHoops When he’s in the xfl yeah,3
1233954666247065600,@TerrapinHoops ?,2
1233955425072173056,https://t.co/2EighbCe9Z,3
1233955826932436992,"Malik Hall put on his big-boy pants Saturday night vs No. 8 Maryland and provided MSU a huge boost early in the No. 24 Spartans' win.

https://t.co/eTKVEcjxrN",1
1233956220924497923,Crabcakes and.....what?,3
1233956342437744643,https://t.co/2EighbCe9Z,3
1233957790626041856,"Alex,,,we are sorry https://t.co/nIwSas57f6",3
1233958071216590849,"Wrestlers: 7-0 at home + NCAA attendance record.

Women: 36 straight at home, second longest in nation.

Men: Just won 13th straight at home &amp; with Maryland’s loss tonight is lone B1G team that is unbeaten in conference play.

What a winter at Carver.
https://t.co/EdAE0UlfvA",1
